"VAT THRESHOLD ASSESSMENT — DR SMITH AESTHETICS"
"Square card machine data: 01/01/2025 – 01/04/2026"
"Generated: 02/04/2026"
"IMPORTANT: Booking system transactions not included — add for complete picture"

"Date","Net Sales (£)","Cumulative Total (£)","Rolling 12-Month Total (£)","Notes"
"02/03/2025","0.00","9396.87","",""
"03/03/2025","0.00","9396.87","",""
"04/03/2025","0.00","9396.87","",""
"05/03/2025","0.00","9396.87","",""
"06/03/2025","190.00","9586.87","",""
"07/03/2025","0.00","9586.87","",""
"08/03/2025","0.00","9586.87","",""
"09/03/2025","230.00","9816.87","",""
"10/03/2025","60.00","9876.87","",""
"11/03/2025","1640.00","11516.87","",""
"12/03/2025","240.00","11756.87","",""
"13/03/2025","1020.00","12776.87","",""
"14/03/2025","0.00","12776.87","",""
"15/03/2025","0.00","12776.87","",""
"16/03/2025","0.00","12776.87","",""
"17/03/2025","0.00","12776.87","",""
"18/03/2025","0.00","12776.87","",""
"19/03/2025","1056.00","13832.87","",""
"20/03/2025","0.00","13832.87","",""
"21/03/2025","131.50","13964.37","",""
"22/03/2025","263.00","14227.37","",""
"23/03/2025","180.00","14407.37","",""
"24/03/2025","0.00","14407.37","",""
"25/03/2025","640.00","15047.37","",""
"26/03/2025","0.00","15047.37","",""
"27/03/2025","60.00","15107.37","",""
"28/03/2025","471.00","15578.37","",""
"29/03/2025","96.00","15674.37","",""
"30/03/2025","0.00","15674.37","",""
"31/03/2025","0.00","15674.37","15674.37",""
"01/04/2025","30.00","15704.37","",""
"02/04/2025","0.00","15704.37","",""
"03/04/2025","375.00","16079.37","",""
"04/04/2025","80.00","16159.37","",""
"05/04/2025","849.50","17008.87","",""
"06/04/2025","0.00","17008.87","",""
"07/04/2025","381.00","17389.87","",""
"08/04/2025","30.00","17419.87","",""
"09/04/2025","325.00","17744.87","",""
"10/04/2025","160.00","17904.87","",""
"11/04/2025","676.00","18580.87","",""
"12/04/2025","240.00","18820.87","",""
"13/04/2025","0.00","18820.87","",""
"14/04/2025","74.00","18894.87","",""
"15/04/2025","0.00","18894.87","",""
"16/04/2025","1255.00","20149.87","",""
"17/04/2025","30.00","20179.87","",""
"18/04/2025","0.00","20179.87","",""
"19/04/2025","0.00","20179.87","",""
"20/04/2025","30.00","20209.87","",""
"21/04/2025","0.00","20209.87","",""
"22/04/2025","126.00","20335.87","",""
"23/04/2025","141.00","20476.87","",""
"24/04/2025","710.50","21187.37","",""
"25/04/2025","30.00","21217.37","",""
"26/04/2025","30.00","21247.37","",""
"27/04/2025","0.00","21247.37","",""
"28/04/2025","0.00","21247.37","",""
"29/04/2025","0.00","21247.37","",""
"30/04/2025","510.00","21757.37","21757.37",""
"01/05/2025","0.00","21757.37","",""
"02/05/2025","255.00","22012.37","",""
"03/05/2025","396.00","22408.37","",""
"04/05/2025","0.00","22408.37","",""
"05/05/2025","0.00","22408.37","",""
"06/05/2025","0.00","22408.37","",""
"07/05/2025","750.00","23158.37","",""
"08/05/2025","0.00","23158.37","",""
"09/05/2025","30.00","23188.37","",""
"10/05/2025","592.00","23780.37","",""
"11/05/2025","0.00","23780.37","",""
"12/05/2025","403.00","24183.37","",""
"13/05/2025","0.00","24183.37","",""
"14/05/2025","240.00","24423.37","",""
"15/05/2025","637.50","25060.87","",""
"16/05/2025","0.00","25060.87","",""
"17/05/2025","490.00","25550.87","",""
"18/05/2025","0.00","25550.87","",""
"19/05/2025","0.00","25550.87","",""
"20/05/2025","0.00","25550.87","",""
"21/05/2025","0.00","25550.87","",""
"22/05/2025","30.00","25580.87","",""
"23/05/2025","0.00","25580.87","",""
"24/05/2025","261.00","25841.87","",""
"25/05/2025","200.25","26042.12","",""
"26/05/2025","60.00","26102.12","",""
"27/05/2025","0.00","26102.12","",""
"28/05/2025","345.00","26447.12","",""
"29/05/2025","480.00","26927.12","",""
"30/05/2025","240.00","27167.12","",""
"31/05/2025","370.00","27537.12","27537.12",""
"01/06/2025","150.00","27687.12","",""
"02/06/2025","0.00","27687.12","",""
"03/06/2025","0.00","27687.12","",""
"04/06/2025","240.00","27927.12","",""
"05/06/2025","170.00","28097.12","",""
"06/06/2025","170.00","28267.12","",""
"07/06/2025","255.00","28522.12","",""
"08/06/2025","247.50","28769.62","",""
"09/06/2025","350.00","29119.62","",""
"10/06/2025","80.00","29199.62","",""
"11/06/2025","755.00","29954.62","",""
"12/06/2025","0.00","29954.62","",""
"13/06/2025","0.00","29954.62","",""
"14/06/2025","525.00","30479.62","",""
"15/06/2025","202.05","30681.67","",""
"16/06/2025","0.00","30681.67","",""
"17/06/2025","0.00","30681.67","",""
"18/06/2025","30.00","30711.67","",""
"19/06/2025","110.00","30821.67","",""
"20/06/2025","395.00","31216.67","",""
"21/06/2025","425.00","31641.67","",""
"22/06/2025","234.00","31875.67","",""
"23/06/2025","60.00","31935.67","",""
"24/06/2025","631.00","32566.67","",""
"25/06/2025","0.00","32566.67","",""
"26/06/2025","693.50","33260.17","",""
"27/06/2025","320.00","33580.17","",""
"28/06/2025","812.00","34392.17","",""
"29/06/2025","0.00","34392.17","",""
"30/06/2025","400.00","34792.17","34792.17",""
"01/07/2025","1630.00","36422.17","",""
"02/07/2025","30.00","36452.17","",""
"03/07/2025","234.00","36686.17","",""
"04/07/2025","0.00","36686.17","",""
"05/07/2025","30.00","36716.17","",""
"06/07/2025","30.00","36746.17","",""
"07/07/2025","30.00","36776.17","",""
"08/07/2025","-30.00","36746.17","",""
"09/07/2025","330.00","37076.17","",""
"10/07/2025","30.00","37106.17","",""
"11/07/2025","480.00","37586.17","",""
"12/07/2025","540.00","38126.17","",""
"13/07/2025","0.00","38126.17","",""
"14/07/2025","30.00","38156.17","",""
"15/07/2025","1160.00","39316.17","",""
"16/07/2025","60.00","39376.17","",""
"17/07/2025","330.00","39706.17","",""
"18/07/2025","510.00","40216.17","",""
"19/07/2025","350.00","40566.17","",""
"20/07/2025","50.00","40616.17","",""
"21/07/2025","1987.50","42603.67","",""
"22/07/2025","0.00","42603.67","",""
"23/07/2025","0.00","42603.67","",""
"24/07/2025","30.00","42633.67","",""
"25/07/2025","0.00","42633.67","",""
"26/07/2025","0.00","42633.67","",""
"27/07/2025","30.00","42663.67","",""
"28/07/2025","0.00","42663.67","",""
"29/07/2025","30.00","42693.67","",""
"30/07/2025","72.50","42766.17","",""
"31/07/2025","1173.75","43939.92","43939.92",""
"01/08/2025","335.00","44274.92","",""
"02/08/2025","880.00","45154.92","",""
"03/08/2025","0.00","45154.92","",""
"04/08/2025","30.00","45184.92","",""
"05/08/2025","270.00","45454.92","",""
"06/08/2025","221.25","45676.17","",""
"07/08/2025","1166.00","46842.17","",""
"08/08/2025","30.00","46872.17","",""
"09/08/2025","641.00","47513.17","",""
"10/08/2025","445.00","47958.17","",""
"11/08/2025","0.00","47958.17","",""
"12/08/2025","0.00","47958.17","",""
"13/08/2025","195.00","48153.17","",""
"14/08/2025","487.00","48640.17","",""
"15/08/2025","150.00","48790.17","",""
"16/08/2025","171.00","48961.17","",""
"17/08/2025","170.00","49131.17","",""
"18/08/2025","0.00","49131.17","",""
"19/08/2025","341.00","49472.17","",""
"20/08/2025","0.00","49472.17","",""
"21/08/2025","100.00","49572.17","",""
"22/08/2025","50.00","49622.17","",""
"23/08/2025","100.00","49722.17","",""
"24/08/2025","0.00","49722.17","",""
"25/08/2025","0.00","49722.17","",""
"26/08/2025","0.00","49722.17","",""
"27/08/2025","0.00","49722.17","",""
"28/08/2025","100.00","49822.17","",""
"29/08/2025","724.50","50546.67","",""
"30/08/2025","1043.00","51589.67","",""
"31/08/2025","-50.00","51539.67","51539.67",""
"01/09/2025","140.00","51679.67","",""
"02/09/2025","347.50","52027.17","",""
"03/09/2025","766.00","52793.17","",""
"04/09/2025","637.50","53430.67","",""
"05/09/2025","0.00","53430.67","",""
"06/09/2025","1062.00","54492.67","",""
"07/09/2025","100.00","54592.67","",""
"08/09/2025","0.00","54592.67","",""
"09/09/2025","860.00","55452.67","",""
"10/09/2025","100.00","55552.67","",""
"11/09/2025","171.00","55723.67","",""
"12/09/2025","50.00","55773.67","",""
"13/09/2025","617.00","56390.67","",""
"14/09/2025","200.00","56590.67","",""
"15/09/2025","210.00","56800.67","",""
"16/09/2025","220.00","57020.67","",""
"17/09/2025","0.00","57020.67","",""
"18/09/2025","0.00","57020.67","",""
"19/09/2025","50.00","57070.67","",""
"20/09/2025","370.00","57440.67","",""
"21/09/2025","0.00","57440.67","",""
"22/09/2025","310.00","57750.67","",""
"23/09/2025","0.00","57750.67","",""
"24/09/2025","50.00","57800.67","",""
"25/09/2025","50.00","57850.67","",""
"26/09/2025","485.00","58335.67","",""
"27/09/2025","0.00","58335.67","",""
"28/09/2025","100.00","58435.67","",""
"29/09/2025","740.00","59175.67","",""
"30/09/2025","170.00","59345.67","59345.67",""
"01/10/2025","100.00","59445.67","",""
"02/10/2025","0.00","59445.67","",""
"03/10/2025","359.00","59804.67","",""
"04/10/2025","0.00","59804.67","",""
"05/10/2025","50.00","59854.67","",""
"06/10/2025","0.00","59854.67","",""
"07/10/2025","622.00","60476.67","",""
"08/10/2025","310.00","60786.67","",""
"09/10/2025","480.00","61266.67","",""
"10/10/2025","220.00","61486.67","",""
"11/10/2025","401.00","61887.67","",""
"12/10/2025","0.00","61887.67","",""
"13/10/2025","374.00","62261.67","",""
"14/10/2025","560.00","62821.67","",""
"15/10/2025","50.00","62871.67","",""
"16/10/2025","50.00","62921.67","",""
"17/10/2025","210.00","63131.67","",""
"18/10/2025","553.00","63684.67","",""
"19/10/2025","171.00","63855.67","",""
"20/10/2025","50.00","63905.67","",""
"21/10/2025","50.00","63955.67","",""
"22/10/2025","190.00","64145.67","",""
"23/10/2025","640.00","64785.67","",""
"24/10/2025","1259.99","66045.66","",""
"25/10/2025","270.00","66315.66","",""
"26/10/2025","130.00","66445.66","",""
"27/10/2025","358.00","66803.66","",""
"28/10/2025","500.00","67303.66","",""
"29/10/2025","0.00","67303.66","",""
"30/10/2025","50.00","67353.66","",""
"31/10/2025","580.00","67933.66","67933.66",""
"01/11/2025","137.00","68070.66","",""
"02/11/2025","50.00","68120.66","",""
"03/11/2025","50.00","68170.66","",""
"04/11/2025","140.00","68310.66","",""
"05/11/2025","0.00","68310.66","",""
"06/11/2025","340.00","68650.66","",""
"07/11/2025","0.00","68650.66","",""
"08/11/2025","220.00","68870.66","",""
"09/11/2025","420.00","69290.66","",""
"10/11/2025","198.00","69488.66","",""
"11/11/2025","0.00","69488.66","",""
"12/11/2025","859.50","70348.16","",""
"13/11/2025","930.00","71278.16","",""
"14/11/2025","1038.50","72316.66","",""
"15/11/2025","0.00","72316.66","",""
"16/11/2025","50.00","72366.66","",""
"17/11/2025","360.00","72726.66","",""
"18/11/2025","170.00","72896.66","",""
"19/11/2025","260.00","73156.66","",""
"20/11/2025","50.00","73206.66","",""
"21/11/2025","0.00","73206.66","",""
"22/11/2025","460.00","73666.66","",""
"23/11/2025","0.00","73666.66","",""
"24/11/2025","50.00","73716.66","",""
"25/11/2025","619.50","74336.16","",""
"26/11/2025","100.00","74436.16","",""
"27/11/2025","772.50","75208.66","",""
"28/11/2025","150.00","75358.66","",""
"29/11/2025","100.00","75458.66","",""
"30/11/2025","0.00","75458.66","75458.66",""
"01/12/2025","987.50","76446.16","",""
"02/12/2025","280.00","76726.16","",""
"03/12/2025","100.00","76826.16","",""
"04/12/2025","50.00","76876.16","",""
"05/12/2025","1996.00","78872.16","",""
"06/12/2025","50.00","78922.16","",""
"07/12/2025","0.00","78922.16","",""
"08/12/2025","120.00","79042.16","",""
"09/12/2025","372.00","79414.16","",""
"10/12/2025","741.00","80155.16","",""
"11/12/2025","0.00","80155.16","",""
"12/12/2025","455.00","80610.16","",""
"13/12/2025","0.00","80610.16","",""
"14/12/2025","0.00","80610.16","",""
"15/12/2025","170.00","80780.16","",""
"16/12/2025","260.00","81040.16","",""
"17/12/2025","0.00","81040.16","",""
"18/12/2025","50.00","81090.16","",""
"19/12/2025","431.00","81521.16","",""
"20/12/2025","50.00","81571.16","",""
"21/12/2025","0.00","81571.16","",""
"22/12/2025","710.00","82281.16","",""
"23/12/2025","0.00","82281.16","",""
"24/12/2025","0.00","82281.16","",""
"25/12/2025","0.00","82281.16","",""
"26/12/2025","0.00","82281.16","",""
"27/12/2025","170.00","82451.16","",""
"28/12/2025","200.00","82651.16","",""
"29/12/2025","0.00","82651.16","",""
"30/12/2025","100.00","82751.16","",""
"31/12/2025","260.00","83011.16","83011.16",""
"01/01/2026","0.00","83011.16","",""
"02/01/2026","0.00","83011.16","",""
"03/01/2026","202.50","83213.66","",""
"04/01/2026","450.00","83663.66","",""
"05/01/2026","0.00","83663.66","",""
"06/01/2026","1134.50","84798.16","",""
"07/01/2026","480.00","85278.16","",""
"08/01/2026","170.00","85448.16","",""
"09/01/2026","188.00","85636.16","",""
"10/01/2026","50.00","85686.16","",""
"11/01/2026","300.00","85986.16","",""
"12/01/2026","0.00","85986.16","",""
"13/01/2026","733.00","86719.16","",""
"14/01/2026","461.00","87180.16","",""
"15/01/2026","0.00","87180.16","",""
"16/01/2026","1245.00","88425.16","",""
"17/01/2026","50.00","88475.16","",""
"18/01/2026","0.00","88475.16","",""
"19/01/2026","100.00","88575.16","",""
"20/01/2026","0.00","88575.16","",""
"21/01/2026","50.00","88625.16","",""
"22/01/2026","50.00","88675.16","",""
"23/01/2026","1139.00","89814.16","",""
"24/01/2026","911.50","90725.66","",""
"25/01/2026","50.00","90775.66","",""
"26/01/2026","293.00","91068.66","",""
"27/01/2026","0.00","91068.66","",""
"28/01/2026","715.00","91783.66","",""
"29/01/2026","50.00","91833.66","",""
"30/01/2026","0.00","91833.66","",""
"31/01/2026","50.00","91883.66","88245.66",""
"01/02/2026","50.00","91933.66","",""
"02/02/2026","937.00","92870.66","",""
"03/02/2026","0.00","92870.66","",""
"04/02/2026","0.00","92870.66","",""
"05/02/2026","184.00","93054.66","",""
"06/02/2026","663.00","93717.66","",""
"07/02/2026","640.00","94357.66","",""
"08/02/2026","585.00","94942.66","",""
"09/02/2026","150.00","95092.66","",""
"10/02/2026","50.00","95142.66","",""
"11/02/2026","260.00","95402.66","",""
"12/02/2026","520.00","95922.66","",""
"13/02/2026","1220.00","97142.66","",""
"14/02/2026","0.00","97142.66","",""
"15/02/2026","210.00","97352.66","",""
"16/02/2026","300.00","97652.66","",""
"17/02/2026","50.00","97702.66","",""
"18/02/2026","50.00","97752.66","",""
"19/02/2026","2375.00","100127.66","",""
"20/02/2026","540.00","100667.66","",""
"21/02/2026","0.00","100667.66","",""
"22/02/2026","430.00","101097.66","",""
"23/02/2026","50.00","101147.66","",""
"24/02/2026","0.00","101147.66","",""
"25/02/2026","210.00","101357.66","",""
"26/02/2026","0.00","101357.66","",""
"27/02/2026","50.00","101407.66","",""
"28/02/2026","0.00","101407.66","92379.79","*** ROLLING 12-MONTH TOTAL EXCEEDS £90,000 — THRESHOLD FIRST CROSSED ***"
"01/03/2026","0.00","101407.66","",""
"02/03/2026","873.00","102280.66","",""
"03/03/2026","260.00","102540.66","",""
"04/03/2026","226.00","102766.66","",""
"05/03/2026","2109.00","104875.66","",""
"06/03/2026","570.00","105445.66","",""
"07/03/2026","1692.00","107137.66","",""
"08/03/2026","326.00","107463.66","",""
"09/03/2026","0.00","107463.66","",""
"10/03/2026","583.00","108046.66","",""
"11/03/2026","150.00","108196.66","",""
"12/03/2026","1445.00","109641.66","",""
"13/03/2026","50.00","109691.66","",""
"14/03/2026","0.00","109691.66","",""
"15/03/2026","0.00","109691.66","",""
"16/03/2026","600.00","110291.66","",""
"17/03/2026","740.00","111031.66","",""
"18/03/2026","220.00","111251.66","",""
"19/03/2026","818.00","112069.66","",""
"20/03/2026","522.00","112591.66","",""
"21/03/2026","0.00","112591.66","",""
"22/03/2026","880.00","113471.66","",""
"23/03/2026","0.00","113471.66","",""
"24/03/2026","480.00","113951.66","",""
"25/03/2026","100.00","114051.66","",""
"26/03/2026","715.00","114766.66","",""
"27/03/2026","540.00","115306.66","",""
"28/03/2026","0.00","115306.66","",""
"29/03/2026","100.00","115406.66","","HMRC NOTIFICATION DEADLINE — ACTION REQUIRED"
"30/03/2026","100.00","115506.66","","HMRC NOTIFICATION DEADLINE — ACTION REQUIRED"
"31/03/2026","640.00","116146.66","100472.29",""
"01/04/2026","310.00","116456.66","","VAT REGISTRATION EFFECTIVE FROM TODAY"


"=== ROLLING 12-MONTH ANALYSIS BY MONTH ==="
"Month","Rolling 12-Month Total (£)","Threshold (£)","Status"
"January 2025","3638.00","90,000.00","Under threshold"
"February 2025","9027.87","90,000.00","Under threshold"
"March 2025","15674.37","90,000.00","Under threshold"
"April 2025","21757.37","90,000.00","Under threshold"
"May 2025","27537.12","90,000.00","Under threshold"
"June 2025","34792.17","90,000.00","Under threshold"
"July 2025","43939.92","90,000.00","Under threshold"
"August 2025","51539.67","90,000.00","Under threshold"
"September 2025","59345.67","90,000.00","Under threshold"
"October 2025","67933.66","90,000.00","Under threshold"
"November 2025","75458.66","90,000.00","Under threshold"
"December 2025","83011.16","90,000.00","Under threshold"
"January 2026","88245.66","90,000.00","Under threshold"
"February 2026","92379.79","90,000.00","OVER THRESHOLD"
"March 2026","100472.29","90,000.00","OVER THRESHOLD"

"=== KEY FINDINGS ==="
"Threshold first exceeded at end of:","February 2026 — rolling total £92379.79"
"HMRC notification deadline:","30/03/2026 — *** THIS DATE HAS PASSED ***"
"VAT registration effective from:","01/04/2026 (today's date)"
"ACTION:","Contact your accountant IMMEDIATELY"

"=== NOTES FOR ACCOUNTANT ==="
"1.","Treatments (botox / fillers / aesthetics) = Standard Rated at 20% VAT — NOT exempt"
"2.","Figures are Net Sales from Square (gross sales minus refunds) BEFORE Square processing fees"
"3.","Square fees are a deductible business expense and do not affect VAT threshold calculation"
"4.","Booking system transactions have NOT been included — may affect crossing date"
"5.","Rolling 12-month window = 12 calendar months ending last day of each month (HMRC method)"
